chosen_worker_id,client_addr,lb_decision_latency_ms,overall_rtt_ms,payload_recv_brief,proxy_to_worker_rtt_ms,request_id,status,timestamp,worker_processing_time_ms,worker_response_payload_brief
worker-1,"('127.0.0.1', 62375)",0.03216700133634731,435.2588330002618,"{'data': 'Benchmark hello from client 4, req 3', 'request_id': 'client4-req3-5cdb972a'}",380.3791249956703,client4-req3-5cdb972a,SUCCESS,1747410886.1113899,131.53370800137054,"{'data': 'Response from worker-1 to request client4-req3-5cdb972a', 'original_request_id': 'client4-"
worker-0,"('127.0.0.1', 62373)",0.03337499947519973,1191.2388749988168,"{'data': 'Benchmark hello from client 2, req 1', 'request_id': 'client2-req1-039d95c1'}",1138.5252920008497,client2-req1-039d95c1,SUCCESS,1747410885.3631139,100.95887500210665,"{'data': 'Response from worker-0 to request client2-req1-039d95c1', 'original_request_id': 'client2-"
worker-1,"('127.0.0.1', 62379)",0.015499994333367795,527.1654589960235,"{'data': 'Benchmark hello from client 8, req 1', 'request_id': 'client8-req1-70ea283e'}",471.41695800382877,client8-req1-70ea283e,SUCCESS,1747410886.11344,92.28591599821812,"{'data': 'Response from worker-1 to request client8-req1-70ea283e', 'original_request_id': 'client8-"
worker-0,"('127.0.0.1', 62374)",0.031541996577288955,1198.413708996668,"{'data': 'Benchmark hello from client 3, req 1', 'request_id': 'client3-req1-293c4a89'}",1145.4397080015042,client3-req1-293c4a89,SUCCESS,1747410885.506023,149.8389580010553,"{'data': 'Response from worker-0 to request client3-req1-293c4a89', 'original_request_id': 'client3-"
worker-1,"('127.0.0.1', 62380)",0.032667005143594,552.3813330000849,"{'data': 'Benchmark hello from client 9, req 1', 'request_id': 'client9-req1-7a23e7b0'}",499.6322080041864,client9-req1-7a23e7b0,SUCCESS,1747410886.182375,97.33691599831218,"{'data': 'Response from worker-1 to request client9-req1-7a23e7b0', 'original_request_id': 'client9-"
worker-1,"('127.0.0.1', 62377)",0.03420800203457475,584.5366670037038,"{'data': 'Benchmark hello from client 6, req 2', 'request_id': 'client6-req2-f629d15d'}",531.5800419994048,client6-req2-f629d15d,SUCCESS,1747410886.214711,64.15945800108602,"{'data': 'Response from worker-1 to request client6-req2-f629d15d', 'original_request_id': 'client6-"
worker-1,"('127.0.0.1', 62376)",0.03783300053328276,602.9966249989229,"{'data': 'Benchmark hello from client 5, req 3', 'request_id': 'client5-req3-55202ca2'}",550.7947500009323,client5-req3-55202ca2,SUCCESS,1747410886.281332,85.36362499580719,"{'data': 'Response from worker-1 to request client5-req3-55202ca2', 'original_request_id': 'client5-"
worker-1,"('127.0.0.1', 62371)",0.0347500026691705,670.3425419982523,"{'data': 'Benchmark hello from client 0, req 2', 'request_id': 'client0-req2-5baf6ff1'}",618.3148749987595,client0-req2-5baf6ff1,SUCCESS,1747410886.3305228,116.64270899927942,"{'data': 'Response from worker-1 to request client0-req2-5baf6ff1', 'original_request_id': 'client0-"
worker-1,"('127.0.0.1', 62378)",0.03070800448767841,693.1969170036609,"{'data': 'Benchmark hello from client 7, req 2', 'request_id': 'client7-req2-523f6fa5'}",640.3632910005399,client7-req2-523f6fa5,SUCCESS,1747410886.413484,104.38199999771314,"{'data': 'Response from worker-1 to request client7-req2-523f6fa5', 'original_request_id': 'client7-"
worker-1,"('127.0.0.1', 62372)",0.03412499791011214,707.1578749964829,"{'data': 'Benchmark hello from client 1, req 2', 'request_id': 'client1-req2-c8295359'}",654.6157089978806,client1-req2-c8295359,SUCCESS,1747410886.4531,52.64345899922773,"{'data': 'Response from worker-1 to request client1-req2-c8295359', 'original_request_id': 'client1-"
worker-1,"('127.0.0.1', 62375)",0.0318750026053749,728.6313330041594,"{'data': 'Benchmark hello from client 4, req 4', 'request_id': 'client4-req4-3d4443cf'}",675.9018750017276,client4-req4-3d4443cf,SUCCESS,1747410886.5453062,114.76566599594662,"{'data': 'Response from worker-1 to request client4-req4-3d4443cf', 'original_request_id': 'client4-"
